C_gps,C_name,C_name2,C_high,C_ad,,,
"37.65869404,126.9779634",북한산,북한산,837,서울,북한산,835.6,"서울특별시 강북구ㆍ성북구ㆍ종로구ㆍ은평구, 경기도 고양시ㆍ양주시"
"35.19074444,126.5649944",불갑산(영광),불갑산(영광),516,전남,비슬산,1083.4,"대구광역시 달성군 옥포면ㆍ유가면ㆍ가창면, 경상북도 청도군 각북면"
"35.71544505,128.523803",비슬산,비슬산,1083,경북,삼악산,655.8,강원도 춘천시 서면
"37.83969167,127.6604028",삼악산,삼악산,654,강원,서대산,904.1,"충청남도 금산군 추부면ㆍ군북면, 충청북도 옥천군 군서면"
"35.498675,126.5689861",선운산,선운산,336,전북,선운산,334.7,전라북도 고창군 아산면ㆍ심원면ㆍ해리면
"38.119125,128.4653611",설악산,설악산,1708,강원,설악산,1708.1,"강원도 속초시 설악동, 인제군 북면ㆍ인제읍, 양양군 서면ㆍ강현면"
"36.95748333,128.4848722",소백산,소백산,1439,경북,성인봉,986.5,경상북도 울릉군 울릉읍 서면ㆍ북면
"37.93851111,127.0879417",소요산,소요산,587,경기,소백산,1439.7,"경상북도 영주시 풍기읍, 충청북도 단양군 단양읍"
"36.54319296,127.8708036",속리산,속리산,1058,충북,소요산,587.5,"경기도 동두천시, 포천시 신북면"
"37.69922309,127.0813438",수락산,수락산,637,서울,속리산,1058.4,"경상북도 상주시 화북면, 충청북도 보은군 내속리면"
"35.53936111,129.0541111",신불산,신불산,1209,경남,신불산,1159.3,울산광역시 울주군 삼남면ㆍ상북면
"37.898784,127.414388",연인산,연인산,1068,경기,연화산,524,경상남도 고성군 개천면ㆍ영현면
"37.79459051,128.5436089",오대산 비로봉,오대산 비로봉,1563,강원,오대산,1565.4,"강원도 평창군 진부면, 홍천군 내면, 강릉시 연곡면"
"37.99962064,127.8075922",오봉산(춘천),오봉산(춘천),779,강원,오봉산,777.9,"강원도 춘천시 북산면, 화천군 간동면"
"36.45836667,126.6593306",오서산(보령),오서산(보령),791,충남,용문산,1157.1,경기도 양평군 용문면ㆍ옥천면
"37.56214958,127.5485971",용문산(양평),용문산,1157,경기,용화산,877.8,"강원도 화천군 간동면ㆍ하남면, 춘천시 사북면"
"36.64365278,126.6491972",용봉산(홍성),용봉산(홍성),381,충남,운문산,1195.1,"경상북도 청도군 운문면, 경상남도 밀양시 산내면"
"38.03818056,127.7479917",용화산,용화산,878,강원,운악산,934.7,"경기도 가평군 하면, 포천시 화현면"
"37.87670561,127.3253579",운악산,운악산,937,경기,운장산,1125.8,"전라북도 진안군 주천면, 부귀면, 정천면, 완주군 동상면"
"35.91128056,127.3577",운장산,운장산,1122,전북,월악산,1095.3,"충청북도 제천시 한수면, 덕산면"
"36.885975,128.1060722",월악산,월악산,1097,충북,월출산,810.7,"전라남도 영암군 영암읍ㆍ군서면ㆍ학산면, 강진군 성전면"
"34.76660278,126.7040306",월출산,월출산,809,전남,유명산,864,"경기도 가평군 설악면, 양평군 옥천면"
"37.57528333,127.4865722",유명산,유명산,862,경기,응봉산,999.7,"강원도 삼척시 가곡면ㆍ원덕읍, 경상북도 울진군 북면"
"37.07658889,129.2305167",응봉산(울진),응봉산,998,강원,장안산,1237.4,"전라북도 장수군 장수읍, 계남면"
"35.62921274,127.595046",장안산,장안산,1237,전북,재약산,1119.1,"경상남도 밀양시 단장면ㆍ산내면, 울산광역시 울주군 상북면"
"35.54541667,128.9805556",재약산,재약산,1189,경남,적상산,1030.6,전라북도 무주군 적상면
